Boletos,Ingresos,% Δ,Cantidad,% Δ
Lujan Azcuenaga - MZA → NEUQUEN,1455310.004,0.07%,19,0.06%
TRELEW → General Roca,1321940,0.06%,19,0.06%
San Martin (MZA) → CORDOBA,1237360,0.06%,19,0.06%
LINIERS → BAHIA BLANCA,1152230.001,0.05%,19,0.06%
Puerto Montt → Villa la Angostura,1071000.002,0.05%,19,0.06%
Salta → SANTIAGO DEL ESTERO,975489.9987,0.05%,19,0.06%
Mina Clavero → Mendoza,930179.9984,0.04%,19,0.06%
Bariloche → Cinco Saltos,638469.9983,0.03%,19,0.06%
Retiro Buenos Aires → Vedia  Bs. As.,594520.0004,0.03%,19,0.06%
LAS GRUTAS → PUERTO MADRYN,540052.9997,0.03%,19,0.06%
Goya Acc → RESISTENCIA,290295.0007,0.01%,19,0.06%
Mendoza → LAS GRUTAS,2503633.006,0.12%,18,0.06%
Añelo → Mendoza,2047795.004,0.10%,18,0.06%
Mendoza → PUNTA ALTA,2031880.001,0.09%,18,0.06%
Mendoza → Valparaíso,1513049.995,0.07%,18,0.06%
Mendoza → SANTA ROSA - LPM,1396500.002,0.06%,18,0.06%
Lujan Azcuenaga - MZA → Cipolletti - RNG,1326890.002,0.06%,18,0.06%
Cipolletti - RNG → Lujan Azcuenaga - MZA,1275310.001,0.06%,18,0.06%
Santiago → San Juan,1096199.999,0.05%,18,0.06%
Santa Rosa - LPA → SAN LUIS,1076319.999,0.05%,18,0.06%
BAHIA BLANCA → Cipolletti - RNG,795900.0008,0.04%,18,0.06%
BAHIA BLANCA → LAS GRUTAS,758080.0009,0.04%,18,0.06%
CALETA OLIVIA → TRELEW,664118.0004,0.03%,18,0.06%
VIEDMA → BAHIA BLANCA,332859.9997,0.02%,18,0.06%
Mendoza → Las Avispas,67569.99883,0.00%,18,0.06%
RIO GALLEGOS → CORDOBA,4735297.001,0.22%,17,0.06%
San Juan → Mar del Plata,2509499.998,0.12%,17,0.06%
San Martin (MZA) → Mar del Plata,2207550,0.10%,17,0.06%
BAHIA BLANCA → COMODORO RIVADAVIA,1935540.002,0.09%,17,0.06%
General Roca → Mendoza,1797780.001,0.08%,17,0.06%
NEUQUEN → Lujan Azcuenaga - MZA,1295410,0.06%,17,0.06%
Plottier → Mendoza,1266630.002,0.06%,17,0.06%
SANTA ROSA - LPM → Mendoza,1187559.999,0.06%,17,0.06%
TRELEW → BAHIA BLANCA,1041110.002,0.05%,17,0.06%
Retiro Buenos Aires → Villa Mercedes - SLU,1012760.002,0.05%,17,0.06%
Villa Mercedes - SLU → Retiro Buenos Aires,1000890.002,0.05%,17,0.06%
COMODORO RIVADAVIA → Luis Piedrabuena,986749.9992,0.05%,17,0.06%
Mendoza → Villa Carlos Paz,917151.3246,0.04%,17,0.06%
Monte Hermoso → Santa Rosa - LPA,905549.9994,0.04%,17,0.06%
General Pico - LPM → BAHIA BLANCA,819719.9978,0.04%,17,0.06%
RESISTENCIA → PARANA,797857.9998,0.04%,17,0.06%
Villa Dolores - CBA → Mendoza,756890.0008,0.04%,17,0.06%
TRELEW → LAS GRUTAS,707194.9987,0.03%,17,0.06%
LAS GRUTAS → TRELEW,687859.9985,0.03%,17,0.06%
Mendoza → Villa Mercedes - SLU,525230.0004,0.02%,17,0.06%
NEUQUEN → Choele Choel,397009.9997,0.02%,17,0.06%
Choele Choel → NEUQUEN,394069.9985,0.02%,17,0.06%
COMODORO RIVADAVIA → Cipolletti - RNG,2097660.002,0.10%,16,0.05%
San Francisco - CBA → Mendoza,1529947.84,0.07%,16,0.05%
RIO CUARTO → BAHIA BLANCA,1321990.002,0.06%,16,0.05%
NEUQUEN → RAWSON,1240873.519,0.06%,16,0.05%
PUERTO MADRYN → Villa Regina,862339.9976,0.04%,16,0.05%
CORRIENTES → SANTA FE,783350.0005,0.04%,16,0.05%
PARANA → RESISTENCIA,754422.9992,0.04%,16,0.05%
Retiro Buenos Aires → Cnel Pringles Bs As,739546.0001,0.03%,16,0.05%
RIO GALLEGOS → LAS GRUTAS,2744014,0.13%,15,0.05%
Mar del Plata → San Juan,2236499.998,0.10%,15,0.05%
RIO CUARTO → Salta,1759600.001,0.08%,15,0.05%
Retiro Buenos Aires → LAS GRUTAS,1681160.001,0.08%,15,0.05%
LA PLATA → Mendoza,1426090,0.07%,15,0.05%
SAN JUAN → Retiro Buenos Aires,1416190.003,0.07%,15,0.05%
San Martin (MZA) → Retiro Buenos Aires,1283790,0.06%,15,0.05%
RIO GALLEGOS → CDRO RIVADAVIA,1150554.999,0.05%,15,0.05%
Lujan Azcuenaga - MZA → Cinco Saltos,1067260.002,0.05%,15,0.05%
Villa la Angostura → Puerto Varas,874650.0028,0.04%,15,0.05%
NEUQUEN → Tunuyan - Mza,821049.9951,0.04%,15,0.05%
Mendoza → Villa Dolores - CBA,667830.0025,0.03%,15,0.05%
Vedia  Bs. As. → Retiro Buenos Aires,458880.0001,0.02%,15,0.05%
Huinca Renanco → SANTA ROSA - LPM,336063.9993,0.02%,15,0.05%
