Boletos,Ingresos,% Δ,Cantidad,% Δ
Perico → Salta,147860.001192,,12,
Salta → Perico,116789.99802699998,,12,
Huinca Renanco → Realico - LPM,25330.000929,,12,
RESISTENCIA → TRELEW,2580110.239781,,11,
LA PLATA → COMODORO RIVADAVIA,1803859.9985449999,,11,
PARANA → PUERTO MADRYN,1785590.002072,,11,
Retiro Buenos Aires → CDRO RIVADAVIA,1484179.999268,14.198975834664692,11,10
Mendoza → San Salvador de Jujuy,1448349.999971,,11,
San Juan → Buenos Aires,1205310.000181,,11,
RIO CUARTO → LAS GRUTAS,1155060.999057,,11,
CORDOBA → San Martin (MZA),699209.999003,,11,
Luis Piedrabuena → COMODORO RIVADAVIA,631330.998252,,11,
Osorno → Santiago,582750.0012839999,,11,
Mendoza → Villa Maria - CBA,576979.99994,,11,
Entre Lagos → Bariloche,540749.998424,,11,
BAHIA BLANCA → SAN ANTONIO OESTE,498129.99568500003,,11,
PUERTO MADRYN → Choele Choel,446379.997137,,11,
General Pico - LPM → Villa Mercedes - SLU,370609.99719100003,,11,
GENERAL ALVEAR → Catriel,332740.001052,9.668162942700393,11,10
Villa Mercedes - SLU → CORDOBA,326069.999649,,11,
Punta de Vacas → Mendoza,178839.99741299998,2.200429383330961,11,1.75
Bella Vista - COR → RESISTENCIA,116596.997752,,11,
Mendoza → Los Zorzales,85889.998445,,11,
